genres,id,overview,title
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",451,ben sanderson alcoholic hollywood screenwriter lost everything drinking arrives las vegas drink death meets forms uneasy friendship noninterference pact prostitute sera ,Leaving Las Vegas
"[{'id': 18, 'name': 'Drama'}]",16420,evil iago pretends friend othello order manipulate serve end film version shakespeare classic ,Othello
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",9263,waxing nostalgic bittersweet passage childhood puberty tender comingofage tale four childhood girlfriends  teeny chrissy samantha roberta  recall magical summer 1970 walk memory lane reconcile experiences boys secrets bullies ,Now and Then
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",17015,film adaptation jane austens last novel follows anne elliot daughter financially troubled aristocratic family persuaded break engagement frederick wentworth young sea captain meager means years later money troubles force annes father rent family estate admiral croft anne thrown company frederick  rich successful perhaps still love anne ,Persuasion
"[{'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",902,scientist surrealist society kidnaps children steal dreams hoping slow aging process ,The City of Lost Children
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",37557,provincial boy related shanghai crime family recruited uncle cosmopolitan shanghai 1930s servant ganglords mistress ,Shanghai Triad
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",9909,former marine louanne johnson lands gig teaching pilot program bright underachieving teens notorious innercity high school terrible first day decides must throw decorum wind johnson returns classroom armed nononsense attitude informed military training fearless determination better lives students  matter cost ,Dangerous Minds
"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",63,year 2035 convict james cole reluctantly volunteers sent back time discover origin deadly virus wiped nearly earths population forced survivors underground communities cole mistakenly sent 1990 instead 1996 hes arrested locked mental hospital meets psychiatrist dr kathryn railly patient jeffrey goines son famous virus expert may hold key mysterious rogue group army 12 monkeys thought responsible unleashing killer disease ,Twelve Monkeys
"[{'id': 10749, 'name': 'Romance'}, {'id': 12, 'name': 'Adventure'}]",78802,,Wings of Courage
"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",9598,babe little pig doesnt quite know place world bunch odd friends like ferdinand duck thinks rooster fly dog calls mom babe realizes makings become greatest sheep pig time farmer hogget knows help sheep dogs babe learns pig anything wants ,Babe
"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",47018,story relationship painter dora carrington author lytton strachey world war one england cottages countryside although platonic due stracheys homosexuality relationship nevertheless deep complicated one carrington develop physical relationship soldier ralph partridge strachey able welcome friend although partridge remained somewhat uneasy much stracheys lifestyle sexual orientation fact conscientious objector ,Carrington
"[{'id': 18, 'name': 'Drama'}]",687,justice drama based true story man death row last days forms strong relationship nun teaches forgiveness gives spirituality accompanies execution susan sarandon oscar best female actress convincing portrayal sister helen prejean ,Dead Man Walking
"[{'id': 12, 'name': 'Adventure'}, {'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",139405,young russian boy thomas minton travels new york passenger russian freighter close ellis island gets thus starts journey america way immigrants former times thomas searching family one ancestors emigrated decades ago sent letter home together sample new profession 3dphotography boy follows relatives traces counterchecking old 3dphotographs new york using antique viewer places look today way audience gets see big apple former times well today ,Across the Sea of Time
"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",33689,identical 9yearolds different backgrounds orphaned amanda wealthy alyssa meet summer camp decide switch places  play matchmaker alyssas dad roger kind social worker cares amanda ,It Takes Two
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",9603,shallow rich socially successful cher top beverly hills high schools pecking scale seeing matchmaker cher first coaxes two teachers dating emboldened success decides give hopelessly klutzy new student tai makeover tai becomes popular cher realizes disapproving exstepbrother right misguided  falls ,Clueless
"[{'id': 18, 'name': 'Drama'}]",34615,southafrican preacher goes search wayward son committed crime big city ,"Cry, the Beloved Country"
"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",31174,shakespeares play transplanted 1930s setting ,Richard III
"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",11443,depicts heist old bills retired circulation destined government money burn however broadly addresses issues black americans involvement vietnam war subsequent disillusionment progress social issues civil rights back home united states 1960s ,Dead Presidents
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",35196,aspiring young physician robert merivel found service king charles ii saves life someone close king merivel joins kings court lives high life provided someone position merivel ordered marry kings mistress order divert queens suspicions given one order king fall love situation worsens merivel finds love new wife eventually king finds relieves merivel position wealth fall grace leaves merivel first started travels reunions old friend rediscovers love true medicine really means physician ,Restoration
"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",9312,nine generations evil sorcerer victorious handtohand battle mortal enemies wins tenth mortal kombat tournament desolation evil reign multiverse forever save earth three warriors must overcome seemingly insurmountable odds inner demons superhuman foes actionadventure movie based one popular video games time ,Mortal Kombat
"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",577,susan wants work television therefore anything takes even means killing husband dark comedy independent director gus van sant brilliant nicole kidman leading role ,To Die For
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",11861,soontobewed graduate student finn dodd develops cold feet suspects fiancé cheating order clear head finn visits grandmother hy great aunt glady joe cleary grasse calif finn learns hy glady joe members group passionate quilters course visit regaled tales love life women collected rich experiences much wisdom ,How To Make An American Quilt
"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",807,two homicide detectives desperate hunt serial killer whose crimes based seven deadly sins dark haunting film takes viewers tortured remains one victim next seasoned det sommerset researches sin effort get inside killers mind novice partner mills scoffs efforts unravel case ,Se7en
"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",10530,history comes gloriously life disneys epic animated tale love adventure new world pocahontas native american woman whose father arranged marry villages best warrior vision tells change coming soon comes face face form capt john smith ,Pocahontas
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",8391,prudish woman working tenure literacy professor large urban university finds strangely attracted freespirited liberal woman works local carnival comes town ,When Night Is Falling
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",629,held la interrogation room verbal kint attempts convince feds mythic crime lord keyser soze exists also responsible drawing four partners multimillion dollar heist ended explosion san pedro harbor  leaving survivors verbal lures interrogators incredible story crime lords almost supernatural prowess ,The Usual Suspects
"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",117164,detective  turned  bodyguard cynthia mckay cynthia rothrock hired psychotic icy seductress nina lindell lydie denier woman killed mckays lover months earlier vendetta heart mckay accompanies flamboyantly playful womanizer glamourous world superrich protector unique role reversal woman protecting man another woman erupting deadly triangle passion suspense action ,Guardian Angel
"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",11448,lenny wife amanda adopt baby lenny realizes son genius becomes obsessed finding boys biological mother hopes brilliant learns maxs mother linda ash kindhearted prostitute porn star lenny determined reform immoral lifestyle greek chorus chimes relate plot greek mythology quirky comedy ,Mighty Aphrodite
"[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]",49133,fiore italian conman arrives post communist albania gino young apprentice set shoe factory never open con requires native albanian designate spiro impoverished confused former political prisoner chairman board fiore returns italy get government funds project spiro unexpectedly disappears gino sets journey find search leads discover spiros tragic personal history witness albanian poverty firsthand ,Lamerica
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",26441,depressed texas town british foreign exchange teacher anna attempts inject life hopeless kids introducing soccer theyre terrible first anna footballhero assistant whip shape work overtime pair help kids build selfesteem also get involved solving family squabbles ,The Big Green
"[{'id': 18, 'name': 'Drama'}]",97406,sadie looks older sister georgia successful folk singer whos happily married children cant break barband circuit hit big time desperately covets part due attraction drugs booze also unwise choice men finally though sadies achilles heel rough unlovely voice different sisters crowdpleasing singing ,Georgia
[],124057,set modern times alex finds king arthurs sword excalibur must prove worthy ,Kids of the Round Table
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",9089,losing job making soon exboss finding daughter plans spend thanksgiving boyfriend claudia larson face spending holiday family wonders survive crazy antics ,Home for the Holidays
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",11010,simple italian postman learns love poetry delivering mail famous poet uses woo local beauty beatrice ,The Postman
"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",99040,year 1952 quebec city rachel 16 unmarried pregnant works church filled shame unburdens guilt young priest confidentiality confessional present year 1989 pierre lamontagne returned quebec attend fathers funeral meets adopted brother marc begun questioning identity embarked quest roots would lead quebec 1950s past present converge complex web intrigue answer mystery lies ,The Confessional
"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",11359,nineyearold boy gets plastic indian cupboard birthday finds involved adventure indian comes life befriends ,The Indian in the Cupboard
"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",17182,fire brimstone time grieving mother karen mccann takes justice hands kangaroo court los angeles fails convict robert doob monster raped murdered 17yearold daughter ,Eye for an Eye
"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",2054,1965 passionate musician glenn holland takes day job high school music teacher convinced small obstacle road true calling writing historic opus decades roll composition unwritten generations students inspired teaching holland must redefine lifes purpose ,Mr. Holland's Opus
"[{'id': 35, 'name': 'Comedy'}]",10607,ashtray shawn wayans moves south central la live father appears age grandmother likes talk tough smoke reefer falls gangbanging cousin loc dog marlon wayans along requisite pistols uzi carries thermonuclear warhead selfdefense ashtray able keep living straight life ,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",19760,frank obrien petty thief 7yearlong girlfriend roz want put end unsteady lifestyle last job involves stealing valuable painting frank takes roz island coast new england wants sell painting also hopes sagging relationship get positive push back everything goes planned ,Two If by Sea
"[{'id': 35, 'name': 'Comedy'}]",9536,bud doyle two losers nothing lives girlfriends actively involved saving environment two friends couldnt care less saving earth one day group scientists begin mission live inside biodome year without outside contact bud doyle mistakenly become part project ,Bio-Dome
"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",11525,jobe resuscitated jonathan walker wants jobe create special computer chip would connect computers world one network walker would control use walker doesnt realize group teenage hackers stop plan ,Lawnmower Man 2: Beyond Cyberspace
"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",40628,hot summer day 1933 south philly 12year old gennaro lives widowed mom ailing grandpa sits outside holding tight last quarter hes promised gennaro gennaro would like buy ticket plush new movie theater grandpas ready pass quarter pass final reward unfinished business woman past enlists gennaro act emissary ,Two Bits
"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",4482,learning husbands infidelities housewife invites itinerant lesbian move none lives ever ,French Twist
"[{'id': 35, 'name': 'Comedy'}]",10634,craig smokey two guys los angeles hanging porch friday afternoon smoking drinking looking something ,Friday
"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",755,seth gecko younger brother richard run bloody bank robbery texas escape across border mexico homefree next morning pay local kingpin survive dusk till dawn rendezvous point turns hell strip joint ,From Dusk Till Dawn
"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",11859,max kirkpatrick cop protects kate mcquean civil law attorney renegade kgb team terminate ,Fair Game
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",28387,college graduation grovers girlfriend jane tells shes moving prague study writing grover declines accompany deciding instead move several friends cant quite work inertia escape universitys pull nobody wants make big decisions would radically alter life yet none wants end like chet professional student tends bar tenth year university studies ,Kicking and Screaming
"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",48750,france world war ii poor illiterate man henri fortin jeanpaul belmondo introduced victor hugos classic novel les misérables begins see parallels book life ,Les Miserables
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",20927,seeds love planted lisa highpowered investment banker receives flowers secret admirer fairytale fantasies clash workaholic ways soon find sometimes harder seems love conquer ,Bed of Roses
"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",36929,writer returns hometown faces childhood nemesis whose life ultimately ruined bully wants relive painful past torturing ,Big Bully
"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",9102,sirius 6b year 2078 distant mining planet ravaged decade war scientists created perfect weapon bladewielding selfreplicating race killing devices known screamers designed one purpose  hunt destroy enemy life forms ,Screamers
"[{'id': 99, 'name': 'Documentary'}]",124626,look many lives christa päffgen otherwise known nico cutie german mädchen first supermodels glamorous diva velvet underground cult item junkie hag many faces woman realize couldnt bring care enough live ,Nico Icon
"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",27526,daughter died hit run freddy gale waited six years john booth man responsible released prison day release gale visits booth announces kill one week booth uses time try make peace entourage even finds romance gale whose life spiraling obsession towards booth bring edge sanity end week men find collision course ,The Crossing Guard
"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",9623,gangster boss trial murder mob thug known teacher tells annie laird must talk fellow jurors notguilty verdict implying hell kill son oliver fails manages becomes clear mobsters might want silence good sends oliver abroad tries gather evidence plot setting final showdown ,The Juror
"[{'id': 10751, 'name': 'Family'}, {'id': 18, 'name': 'Drama'}]",46785,several people try take advantage little girls innocence hustle money mom gave buy goldfish ,The White Balloon
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",400,mafia film tarantino style starstudded cast jimmys saint gangster career finally ended yet finds self favors wise godfather known man plan ,Things to Do in Denver When You're Dead
"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",880,world war ii antonia daughter danielle go back dutch hometown antonias late mother bestowed small farm upon antonia settles joins tightlyknit unusual community around include quirky friend crooked finger wouldbe suitor bas eventually antonia granddaughter greatgranddaughter help create strong family empowered women ,Antonia's Line
"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",146599,film relates story tightly connected afroamerican community informally called colored town inhabitants live depend world racist oppression everywhere told boy called cliff spent childhood despite see life community joys sorrows live others decide leave better life north remaining things come serious situation one prominent businessman muscled white competitor using racist intimidation response community must make decision whether submit meekly like always finally fight rights ,Once Upon a Time... When We Were Colored
[],188588,filmed entirely location east hampton long island last summer hamptons concerns large theatrical family spending last weekend summer together decadesold family retreat economic circumstances forced put market victoria foyt plays young hollywood actress whose visit wreaks havoc stellar group family friends  led matriarch viveca lindfors made extraordinary mix prominent new york actors directors playwrights course unusual weekend comic well serious situations arise familys secrets  many  begin unravel ,Last Summer in the Hamptons
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",8447,victorian england wealthy patriarch sir harald alabaster invites impoverished biologist william adamson home william tries continue work distracted alabasters seductive daughter eugenia william eugenia begin torrid romance couple become closer young scientist begins realize dark disturbing things happening behind closed doors alabaster manor ,Angels and Insects
"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",10534,teenage boys discover discipline camaraderie illfated sailing voyage ,White Squall
"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",17414,hotel manager robert grant forced boss postpone family vacation hotel critic checks trouble critic really villainous jewel thief orangutan assistant named dunston dunston gets loose tries escape life crime  aided roberts sons  havoc hijinks lots laughs abound ,Dunston Checks In
"[{'id': 35, 'name': 'Comedy'}]",13997,dignified albert donnelly runs governor team moves keep slowwitted klutzy younger brother mike eye media babysit mike campaign assigns sarcastic steve gets experience lifetime tries take mike town election ,Black Sheep
"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",2086,gene watson public accountant arrives train union station los angeles accompanied 6yearold daughter lynn ordinary looks approached pair sinister people named smith jones ,Nick of Time
"[{'id': 18, 'name': 'Drama'}]",61548,journey august king multidimensional drama north carolina farmer 1815 august king widower way home every year selling produce purchasing stock goods need survive winter journey comes upon runaway slave young woman 19 august king must decide violate law help slave freedom else leave hunted ultimately returned slave owner ,The Journey of August King
"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",9095,housemaid falls love dr jekyll darkly mysterious counterpart mr hyde ,Mary Reilly
"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]",12158,maximillian lone survivor race vampires comes brooklyn search way live past next full moon ticket survival rita nypd detective doesnt know shes half vampire  maximillian whatevers necessary put spell ,Vampire in Brooklyn
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",9283,snowy winter small fictional town knights ridge massachusetts group lifelong buddies hang drink struggle connect women affect decisions dreams desires ,Beautiful Girls
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",9208,rogue stealthfighter pilot vic deakins deliberately drops radar maneuvers air force ends two stolen nuclear warheads  deakinss copilot riley hale militarys hope getting back traversing deserted canyons utah hale teams park ranger terry carmichael put deakins back box ,Broken Arrow
"[{'id': 35, 'name': 'Comedy'}]",40154,work actor joe volunteers help try save sisters local church community putting christmas production hamlet somewhat advice agent margaretta cast assembles still available even christmas prepared profit sharing basis may get paid anything cannot expect  get  cream cream although bring problems foibles along something bigger starts emerge perhaps aptly named village hope ,A Midwinter's Tale
"[{'id': 18, 'name': 'Drama'}]",406,aimlessly whiling away days concrete environs deadend suburbia vinz hubert said  jew african arab  give human faces frances immigrant populations bristling resentment social marginalization slowly simmering reaches climactic boiling point la haine means hate ,La Haine
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",45549,dark hip urban story barren anonymous city underclass sport choice ramraiding exciting game stolen cars driven shop windows aid largescale looting police arrive tommy business billy jo labour love competition tommy billy grows fierce stakes become higher shopping trips increasingly risky ,Shopping
"[{'id': 99, 'name': 'Documentary'}]",63076,documentary crew bbc arrives la intent interviewing heidi fleiss year arrest running brothel trial several months elapse interview crew searches anyone wholl talk young woman two people lot say camera retired madam named alex fleiss worked fleisss onetime boyfriend ivan nagy introduced alex alex nagy dont like crew shuttles said said finally interview fleiss spend time reciting alex nagy say asking reaction ,Heidi Fleiss: Hollywood Madam
"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",11062,accidental shooting boy new york leads investigation deputy mayor unexpectedly farreaching consequences ,City Hall
"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",13685,upon release mental hospital following nervous breakdown directionless anthony joins friend dignan seems far less sane former dignan hatched hairbrained scheme asyetunspecified crime spree somehow involves former boss supposedly legendary mr henry ,Bottle Rocket
"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",47475,single lonely woman finds seemingly perfect man date soon regrets deranged possessive personality emerges worst still cannot convince anyone else jekyllhyde true nature ,Mr. Wrong
"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",2045,ray liotta stars medical examiner acquitted wifes murder many still question innocence obsessed finding wifes killer possible solution presents experimental serum designed neurobiology linda fiorentino ability transfer memories one person another without consequences liotta driven solve case injects serum bringing closer closer finding killer bringing closer death ,Unforgettable
"[{'id': 35, 'name': 'Comedy'}]",9614,failed hockey playerturnedgolf whiz happy gilmore  whose unconventional approach antics grass courts ire rival shooter mcgavin  determined win pga tournament save grannys house prize money meanwhile attractive tour publicist tries soften happys image ,Happy Gilmore
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",688,photographer robert kincaid wanders life housewife francesca johnson four days 1960s ,The Bridges of Madison County
